codigo,estacion,categoria,departamento,provincia,latitud,longitud,icono,estado,codigo_antiguo,2026092018,2026092100,2026092106,2026092112,2026092118,2026092200,2026092206,2026092212,2026092218,2026092300,2026092306,2026092312,2026092318,2026092400,2026092406,2026092412,2026092418,2026092500,2026092506,2026092512
116086,LAS SALINAS,EMA,AREQUIPA,AREQUIPA,-16.32064,-71.15212,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
47E360B8,PATAHUASI,EMA,AREQUIPA,AREQUIPA,-16.05542,-71.41481,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
4722E032,PUENTE DEL DIABLO,EHA,AREQUIPA,AREQUIPA,-16.42665,-71.67507,H,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
116082,SAN FRANCISCO,PLU,AREQUIPA,AREQUIPA,-16.38519,-71.49044,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47E3B6D0,SAN JOSE DE UZUNA,EMA,AREQUIPA,AREQUIPA,-16.58103,-71.32836,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47E27134,SOCOSANI,EHA,AREQUIPA,AREQUIPA,-16.25944,-71.72056,H,AUTOMATICA,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
472EE1AE,TINGO GRANDE,EHA,AREQUIPA,AREQUIPA,-16.45992,-71.57431,H,AUTOMATICA,,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,
116078,TUCTUMPAYA,PLU,AREQUIPA,AREQUIPA,-16.48827,-71.33463,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116081,YURA,PLU,AREQUIPA,AREQUIPA,-16.30271,-71.62395,M,AUTOMATICA,,,,,,,,,,,,,,,,,,,,,
116084,CAMANA,PE,AREQUIPA,CAMANA,-16.64395,-72.70432,M,AUTOMATICA,,,,,,,,,,,,,0.0,,,,,,0.0,,
472D23BE,OCOÑA,EHMA,AREQUIPA,CAMANA,-16.427,-73.1145,H,AUTOMATICA,,,0.0,0.8,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,0.0,0.0,0.0,0.0
214400,HUATIAPA,EHA,AREQUIPA,CASTILLA,-16.00806,-72.48355,H,AUTOMATICA,,,,,,,,,,,,,,,,,,,,,
4723D752,CHIVAY,EAMA,AREQUIPA,CAYLLOMA,-15.64163,-71.60169,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47E8A60E,COTACOTA,EMA,AREQUIPA,CAYLLOMA,-15.21331,-71.38955,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47E3A5A6,HUANCA,EMA,AREQUIPA,CAYLLOMA,-16.03458,-71.88108,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47E3834A,IMATA,EMA,AREQUIPA,CAYLLOMA,-15.84266,-71.09062,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4729E39A,PAMPA DE MAJES,EMA,AREQUIPA,CAYLLOMA,-16.33565,-72.15266,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
47E373CE,PILLONES,EMA,AREQUIPA,CAYLLOMA,-15.97861,-71.21333,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47265686,SIBAYO,EHA,AREQUIPA,CAYLLOMA,-15.49422,-71.4638,H,AUTOMATICA,,,,,,,,,,,,,,,,,,,,,
472ED434,SUMBAY,EHA,AREQUIPA,CAYLLOMA,-15.81667,-71.11667,H,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115150,COROPUNA,EMA,AREQUIPA,CONDESUYOS,-15.53597,-72.61056,M,AUTOMATICA,,,,,,,,,,,,,,,,,,,,,
114119,VISCA VISCA,EMA,AREQUIPA,CONDESUYOS,-14.7228,-71.9787,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47280292,COTAHUASI,EAMA,AREQUIPA,LA UNION,-15.21134,-72.89331,M,AUTOMATICA,,,0.0,,,,,,0.0,7.4,22.5,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
115151,CUYAU,EHA,AREQUIPA,LA UNION,-15.21794,-72.93564,H,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4729D600,PAMPA CANGALLO,EMA,AYACUCHO,CANGALLO,-13.56184,-74.19889,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113248,SANTA CRUZ DE HOSPICIO,EAMA,AYACUCHO,CANGALLO,-13.4383,-74.7993,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250900,PUENTE PAMPAS GORE APU,EHA,AYACUCHO,HUAMANGA,-13.43493,-73.82737,H,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114122,CCONTACC,EMA,AYACUCHO,LUCANAS,-14.5423,-74.2642,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47290068,HUAC-HUAS,EMA,AYACUCHO,LUCANAS,-14.12861,-74.94583,M,AUTOMATICA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
