codigo,estacion,categoria,departamento,provincia,latitud,longitud,icono,estado,codigo_antiguo
114108,CURPAHUASI,CO,APURIMAC,GRAU,-14.0628,-72.6669,M,REAL,
116085,AREQUIPA UV,EMA,AREQUIPA,AREQUIPA,-16.4042,-71.55155,M,AUTOMATICA,
47E26242,BOYADERO,EHA,AREQUIPA,AREQUIPA,-16.58989,-72.00886,H,AUTOMATICA,
116083,CAYMA,PLU,AREQUIPA,AREQUIPA,-16.31689,-71.57919,M,AUTOMATICA,
204710,CHARCANI,HLM,AREQUIPA,AREQUIPA,-16.3109,-71.4949,H,DIFERIDO,204711
472147C4,CHARCANI,EHA,AREQUIPA,AREQUIPA,-16.31086,-71.49511,H,AUTOMATICA,
116020,CHIGUATA,CO,AREQUIPA,AREQUIPA,-16.40644,-71.40913,M,REAL,
116077,CHIGUATA,PLU,AREQUIPA,AREQUIPA,-16.40645,-71.40914,M,AUTOMATICA,
116022,EL FRAYLE,CO,AREQUIPA,AREQUIPA,-16.15482,-71.1891,M,DIFERIDO,000849
116003,HUASACACHE,CO,AREQUIPA,AREQUIPA,-16.45774,-71.56635,M,REAL,
116079,HUASACACHE,EMA,AREQUIPA,AREQUIPA,-16.45774,-71.56635,M,AUTOMATICA,
116005,LA JOYA,MAP,AREQUIPA,AREQUIPA,-16.58359,-71.92464,M,REAL,
116017,LA PAMPILLA,MAP,AREQUIPA,AREQUIPA,-16.4138,-71.53453,M,REAL,
116065,LA PAMPILLA,EMA,AREQUIPA,AREQUIPA,-16.41384,-71.53452,M,AUTOMATICA,
116046,LAS SALINAS,CO,AREQUIPA,AREQUIPA,-16.3206,-71.1521,M,DIFERIDO,158209
116086,LAS SALINAS,EMA,AREQUIPA,AREQUIPA,-16.32064,-71.15212,M,AUTOMATICA,
116043,PAMPA DE ARRIEROS,CO,AREQUIPA,AREQUIPA,-16.0665,-71.5914,M,DIFERIDO,158204
47E360B8,PATAHUASI,EMA,AREQUIPA,AREQUIPA,-16.05542,-71.41481,M,AUTOMATICA,
116073,PATAHUASI-AREQUIPA,CO,AREQUIPA,AREQUIPA,-16.05542,-71.41481,M,DIFERIDO,116073
