codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,ecmwf,temp,20260826,20260924,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,gfs,temp,20260826,20260924,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,eta5,temp,20260826,20260924,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,wrf5,temp,20260826,20260924,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,mpas15,temp,20260826,20260924,00Z,D1,3h,S/D,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260826,20260924,"00Z,12Z",D1,3h,-3.137,3.216,3.596,0.889,480
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,gfs,temp,20260826,20260924,"00Z,12Z",D1,3h,-3.197,3.307,3.645,0.918,480
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,eta5,temp,20260826,20260924,"00Z,12Z",D1,3h,-0.707,1.542,1.958,0.901,408
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,wrf5,temp,20260826,20260924,"00Z,12Z",D1,3h,0.834,1.618,2.069,0.902,472
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,mpas15,temp,20260826,20260924,00Z,D1,3h,-4.387,4.412,4.672,0.925,240
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260826,20260924,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,gfs,temp,20260826,20260924,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,eta5,temp,20260826,20260924,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,wrf5,temp,20260826,20260924,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
