codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,rmse,spearman,n,pod_0p1,far_0p1,csi_0p1,eventos_0p1,pod_1,far_1,csi_1,eventos_1,pod_5,far_5,csi_5,eventos_5,pod_25,far_25,csi_25,eventos_25
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,ecmwf,pp,20260824,20260922,"00Z,12Z",D1,6h,-0.143,1.653,0.467,56,0.81,0.469,0.472,21,0.5,0.692,0.235,8,0.0,S/D,0.0,4,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,gfs,pp,20260824,20260922,"00Z,12Z",D1,6h,-0.167,1.792,0.172,43,0.833,0.5,0.455,18,0.167,0.75,0.111,6,0.0,S/D,0.0,3,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,eta5,pp,20260824,20260922,"00Z,12Z",D1,6h,-0.146,1.305,0.115,48,0.353,0.667,0.207,17,0.5,0.5,0.333,4,0.0,S/D,0.0,2,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,wrf5,pp,20260824,20260922,"00Z,12Z",D1,6h,-0.231,2.172,0.015,57,0.273,0.625,0.188,22,0.125,0.833,0.077,8,0.0,1.0,0.0,4,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,mpas15,pp,20260824,20260922,00Z,D1,6h,-0.3,1.817,0.201,29,0.455,0.444,0.333,11,0.25,0.8,0.125,4,0.0,S/D,0.0,2,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260824,20260922,"00Z,12Z",D1,6h,0.64,1.387,0.194,226,1.0,0.921,0.079,12,0.75,0.897,0.1,8,0.0,1.0,0.0,2,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,gfs,pp,20260824,20260922,"00Z,12Z",D1,6h,0.277,0.876,0.174,172,0.75,0.946,0.053,8,1.0,0.773,0.227,5,0.0,S/D,0.0,2,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,eta5,pp,20260824,20260922,"00Z,12Z",D1,6h,0.231,0.939,0.098,199,0.727,0.916,0.082,11,0.429,0.87,0.111,7,0.0,S/D,0.0,2,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,wrf5,pp,20260824,20260922,"00Z,12Z",D1,6h,-0.101,0.739,0.081,227,0.083,0.923,0.042,12,0.0,S/D,0.0,8,0.0,S/D,0.0,2,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,mpas15,pp,20260824,20260922,00Z,D1,6h,0.805,1.403,0.171,115,0.833,0.925,0.074,6,1.0,0.918,0.082,4,1.0,0.5,0.5,1,S/D,S/D,S/D,0
