codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
4725A10C,CHAVIN,ANCASH,HUARI,mpas15,temp,20260823,20260921,00Z,D1,3h,-9.898,9.898,10.287,0.892,236
109091,SAUCEPAMPA,ANCASH,HUAYLAS,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,-4.493,4.56,5.142,0.904,468
109091,SAUCEPAMPA,ANCASH,HUAYLAS,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,-6.654,6.654,7.504,0.867,476
109091,SAUCEPAMPA,ANCASH,HUAYLAS,eta5,temp,20260823,20260921,"00Z,12Z",D1,3h,0.484,1.603,1.965,0.905,408
109091,SAUCEPAMPA,ANCASH,HUAYLAS,wrf5,temp,20260823,20260921,"00Z,12Z",D1,3h,-2.418,2.681,3.567,0.898,468
109091,SAUCEPAMPA,ANCASH,HUAYLAS,mpas15,temp,20260823,20260921,00Z,D1,3h,-9.538,9.538,10.004,0.877,238
472182DA,PUENTE CAHUA,ANCASH,OCROS,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,eta5,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,wrf5,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,mpas15,temp,20260823,20260921,00Z,D1,3h,S/D,S/D,S/D,S/D,0
47E89394,PACHACOTO,ANCASH,RECUAY,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,0.117,2.751,3.362,0.906,472
47E89394,PACHACOTO,ANCASH,RECUAY,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,-0.452,4.079,4.762,0.874,480
47E89394,PACHACOTO,ANCASH,RECUAY,eta5,temp,20260823,20260921,"00Z,12Z",D1,3h,1.753,2.631,3.28,0.911,412
47E89394,PACHACOTO,ANCASH,RECUAY,wrf5,temp,20260823,20260921,"00Z,12Z",D1,3h,1.696,3.314,3.968,0.907,472
47E89394,PACHACOTO,ANCASH,RECUAY,mpas15,temp,20260823,20260921,00Z,D1,3h,-3.099,4.272,5.311,0.854,240
47259496,RECUAY,ANCASH,RECUAY,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,-2.92,3.415,4.165,0.944,465
47259496,RECUAY,ANCASH,RECUAY,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,-3.487,4.857,5.968,0.911,472
47259496,RECUAY,ANCASH,RECUAY,eta5,temp,20260823,20260921,"00Z,12Z",D1,3h,-1.236,2.576,3.088,0.917,405
47259496,RECUAY,ANCASH,RECUAY,wrf5,temp,20260823,20260921,"00Z,12Z",D1,3h,0.789,2.979,3.477,0.937,464
47259496,RECUAY,ANCASH,RECUAY,mpas15,temp,20260823,20260921,00Z,D1,3h,-7.071,7.098,8.176,0.918,236
110138,SHAQUEK,ANCASH,RECUAY,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,-6.26,6.272,6.561,0.792,470
110138,SHAQUEK,ANCASH,RECUAY,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,-3.641,3.646,3.873,0.853,478
110138,SHAQUEK,ANCASH,RECUAY,eta5,temp,20260823,20260921,"00Z,12Z",D1,3h,-4.612,4.612,4.873,0.818,410
110138,SHAQUEK,ANCASH,RECUAY,wrf5,temp,20260823,20260921,"00Z,12Z",D1,3h,-1.313,1.707,2.116,0.824,470
110138,SHAQUEK,ANCASH,RECUAY,mpas15,temp,20260823,20260921,00Z,D1,3h,-2.585,2.67,3.008,0.829,239
211601,SAN JACINTO,ANCASH,SANTA,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
211601,SAN JACINTO,ANCASH,SANTA,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
211601,SAN JACINTO,ANCASH,SANTA,eta5,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
