codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,mpas15,temp,20260825,20260923,00Z,D1,3h,S/D,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,-3.192,3.27,3.64,0.887,480
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,-3.293,3.403,3.752,0.91,480
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,-0.706,1.541,1.969,0.898,413
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,0.755,1.624,2.068,0.898,472
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,mpas15,temp,20260825,20260923,00Z,D1,3h,-4.358,4.384,4.653,0.919,240
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,mpas15,temp,20260825,20260923,00Z,D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,mpas15,temp,20260825,20260923,00Z,D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,mpas15,temp,20260825,20260923,00Z,D1,3h,S/D,S/D,S/D,S/D,0
109096,BUENA VISTA,ANCASH,CASMA,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,0.193,1.089,1.427,0.917,474
109096,BUENA VISTA,ANCASH,CASMA,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,-1.757,1.92,2.515,0.872,474
109096,BUENA VISTA,ANCASH,CASMA,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,-1.39,1.983,2.313,0.882,407
109096,BUENA VISTA,ANCASH,CASMA,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,-0.75,1.291,1.602,0.909,466
109096,BUENA VISTA,ANCASH,CASMA,mpas15,temp,20260825,20260923,00Z,D1,3h,-1.862,2.048,2.471,0.872,237
4725A10C,CHAVIN,ANCASH,HUARI,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,-9.07,9.07,9.404,0.904,474
4725A10C,CHAVIN,ANCASH,HUARI,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,-7.903,7.91,8.417,0.883,474
4725A10C,CHAVIN,ANCASH,HUARI,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,-5.03,5.145,5.629,0.858,409
4725A10C,CHAVIN,ANCASH,HUARI,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,-2.313,2.735,3.348,0.905,466
4725A10C,CHAVIN,ANCASH,HUARI,mpas15,temp,20260825,20260923,00Z,D1,3h,-9.889,9.889,10.294,0.894,237
109091,SAUCEPAMPA,ANCASH,HUAYLAS,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,-4.562,4.601,5.184,0.906,476
109091,SAUCEPAMPA,ANCASH,HUAYLAS,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,-6.657,6.657,7.511,0.862,476
109091,SAUCEPAMPA,ANCASH,HUAYLAS,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,0.588,1.579,1.922,0.906,409
109091,SAUCEPAMPA,ANCASH,HUAYLAS,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,-2.438,2.694,3.59,0.895,468
109091,SAUCEPAMPA,ANCASH,HUAYLAS,mpas15,temp,20260825,20260923,00Z,D1,3h,-9.566,9.566,10.035,0.872,238
472182DA,PUENTE CAHUA,ANCASH,OCROS,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,mpas15,temp,20260825,20260923,00Z,D1,3h,S/D,S/D,S/D,S/D,0
47E89394,PACHACOTO,ANCASH,RECUAY,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,0.074,2.719,3.292,0.912,480
47E89394,PACHACOTO,ANCASH,RECUAY,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,-0.477,4.148,4.832,0.868,480
47E89394,PACHACOTO,ANCASH,RECUAY,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,1.869,2.69,3.35,0.909,413
47E89394,PACHACOTO,ANCASH,RECUAY,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,1.699,3.364,4.016,0.904,472
47E89394,PACHACOTO,ANCASH,RECUAY,mpas15,temp,20260825,20260923,00Z,D1,3h,-3.07,4.345,5.365,0.853,240
47259496,RECUAY,ANCASH,RECUAY,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,-2.966,3.391,4.162,0.95,474
47259496,RECUAY,ANCASH,RECUAY,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,-3.508,4.923,6.047,0.909,474
47259496,RECUAY,ANCASH,RECUAY,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,-1.129,2.554,3.071,0.916,408
47259496,RECUAY,ANCASH,RECUAY,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,0.778,3.062,3.546,0.937,466
47259496,RECUAY,ANCASH,RECUAY,mpas15,temp,20260825,20260923,00Z,D1,3h,-7.042,7.069,8.212,0.917,237
110138,SHAQUEK,ANCASH,RECUAY,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,-6.302,6.302,6.579,0.816,476
110138,SHAQUEK,ANCASH,RECUAY,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,-3.623,3.628,3.856,0.851,476
110138,SHAQUEK,ANCASH,RECUAY,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,-4.561,4.561,4.816,0.82,409
110138,SHAQUEK,ANCASH,RECUAY,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,-1.294,1.698,2.098,0.826,468
110138,SHAQUEK,ANCASH,RECUAY,mpas15,temp,20260825,20260923,00Z,D1,3h,-2.555,2.645,2.994,0.826,238
211601,SAN JACINTO,ANCASH,SANTA,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
211601,SAN JACINTO,ANCASH,SANTA,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
211601,SAN JACINTO,ANCASH,SANTA,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
211601,SAN JACINTO,ANCASH,SANTA,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
211601,SAN JACINTO,ANCASH,SANTA,mpas15,temp,20260825,20260923,00Z,D1,3h,S/D,S/D,S/D,S/D,0
113253,CURAHUASI,APURIMAC,ABANCAY,ecmwf,temp,20260825,20260923,"00Z,12Z",D1,3h,-4.898,4.911,5.318,0.912,480
113253,CURAHUASI,APURIMAC,ABANCAY,gfs,temp,20260825,20260923,"00Z,12Z",D1,3h,-5.528,5.528,6.134,0.886,480
113253,CURAHUASI,APURIMAC,ABANCAY,eta5,temp,20260825,20260923,"00Z,12Z",D1,3h,-2.881,3.006,3.466,0.905,413
113253,CURAHUASI,APURIMAC,ABANCAY,wrf5,temp,20260825,20260923,"00Z,12Z",D1,3h,-1.491,2.126,2.726,0.919,472
113253,CURAHUASI,APURIMAC,ABANCAY,mpas15,temp,20260825,20260923,00Z,D1,3h,-6.979,6.979,7.33,0.909,240
