codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,ecmwf,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,gfs,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,eta5,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,wrf5,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,mpas15,temp,20260824,20260922,00Z,D1,3h,S/D,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260824,20260922,"00Z,12Z",D1,3h,-3.178,3.253,3.626,0.89,472
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,gfs,temp,20260824,20260922,"00Z,12Z",D1,3h,-3.341,3.422,3.791,0.907,480
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,eta5,temp,20260824,20260922,"00Z,12Z",D1,3h,-0.695,1.529,1.952,0.899,416
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,wrf5,temp,20260824,20260922,"00Z,12Z",D1,3h,0.705,1.585,1.988,0.903,472
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,mpas15,temp,20260824,20260922,00Z,D1,3h,-4.364,4.366,4.639,0.926,240
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,gfs,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,eta5,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,wrf5,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,mpas15,temp,20260824,20260922,00Z,D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,gfs,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,eta5,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,wrf5,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,mpas15,temp,20260824,20260922,00Z,D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,gfs,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,eta5,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,wrf5,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,mpas15,temp,20260824,20260922,00Z,D1,3h,S/D,S/D,S/D,S/D,0
109096,BUENA VISTA,ANCASH,CASMA,ecmwf,temp,20260824,20260922,"00Z,12Z",D1,3h,0.219,1.095,1.427,0.912,465
109096,BUENA VISTA,ANCASH,CASMA,gfs,temp,20260824,20260922,"00Z,12Z",D1,3h,-1.683,1.856,2.43,0.867,472
109096,BUENA VISTA,ANCASH,CASMA,eta5,temp,20260824,20260922,"00Z,12Z",D1,3h,-1.331,1.962,2.279,0.88,408
109096,BUENA VISTA,ANCASH,CASMA,wrf5,temp,20260824,20260922,"00Z,12Z",D1,3h,-0.697,1.26,1.556,0.908,464
109096,BUENA VISTA,ANCASH,CASMA,mpas15,temp,20260824,20260922,00Z,D1,3h,-1.833,2.017,2.424,0.866,236
4725A10C,CHAVIN,ANCASH,HUARI,ecmwf,temp,20260824,20260922,"00Z,12Z",D1,3h,-9.079,9.079,9.414,0.898,465
4725A10C,CHAVIN,ANCASH,HUARI,gfs,temp,20260824,20260922,"00Z,12Z",D1,3h,-7.911,7.919,8.422,0.881,472
4725A10C,CHAVIN,ANCASH,HUARI,eta5,temp,20260824,20260922,"00Z,12Z",D1,3h,-5.058,5.173,5.652,0.859,410
4725A10C,CHAVIN,ANCASH,HUARI,wrf5,temp,20260824,20260922,"00Z,12Z",D1,3h,-2.319,2.743,3.344,0.902,464
4725A10C,CHAVIN,ANCASH,HUARI,mpas15,temp,20260824,20260922,00Z,D1,3h,-9.888,9.888,10.285,0.894,236
109091,SAUCEPAMPA,ANCASH,HUAYLAS,ecmwf,temp,20260824,20260922,"00Z,12Z",D1,3h,-4.5,4.54,5.12,0.909,468
109091,SAUCEPAMPA,ANCASH,HUAYLAS,gfs,temp,20260824,20260922,"00Z,12Z",D1,3h,-6.625,6.625,7.488,0.865,476
109091,SAUCEPAMPA,ANCASH,HUAYLAS,eta5,temp,20260824,20260922,"00Z,12Z",D1,3h,0.605,1.585,1.94,0.907,412
109091,SAUCEPAMPA,ANCASH,HUAYLAS,wrf5,temp,20260824,20260922,"00Z,12Z",D1,3h,-2.38,2.652,3.543,0.902,468
109091,SAUCEPAMPA,ANCASH,HUAYLAS,mpas15,temp,20260824,20260922,00Z,D1,3h,-9.527,9.527,9.99,0.875,238
472182DA,PUENTE CAHUA,ANCASH,OCROS,ecmwf,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,gfs,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,eta5,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,wrf5,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,mpas15,temp,20260824,20260922,00Z,D1,3h,S/D,S/D,S/D,S/D,0
47E89394,PACHACOTO,ANCASH,RECUAY,ecmwf,temp,20260824,20260922,"00Z,12Z",D1,3h,0.104,2.747,3.328,0.912,472
47E89394,PACHACOTO,ANCASH,RECUAY,gfs,temp,20260824,20260922,"00Z,12Z",D1,3h,-0.41,4.155,4.835,0.872,480
47E89394,PACHACOTO,ANCASH,RECUAY,eta5,temp,20260824,20260922,"00Z,12Z",D1,3h,1.877,2.713,3.378,0.91,416
47E89394,PACHACOTO,ANCASH,RECUAY,wrf5,temp,20260824,20260922,"00Z,12Z",D1,3h,1.759,3.382,4.044,0.906,472
47E89394,PACHACOTO,ANCASH,RECUAY,mpas15,temp,20260824,20260922,00Z,D1,3h,-3.06,4.305,5.331,0.855,240
47259496,RECUAY,ANCASH,RECUAY,ecmwf,temp,20260824,20260922,"00Z,12Z",D1,3h,-2.945,3.402,4.162,0.949,465
47259496,RECUAY,ANCASH,RECUAY,gfs,temp,20260824,20260922,"00Z,12Z",D1,3h,-3.456,4.91,6.014,0.911,472
47259496,RECUAY,ANCASH,RECUAY,eta5,temp,20260824,20260922,"00Z,12Z",D1,3h,-1.128,2.552,3.059,0.918,409
47259496,RECUAY,ANCASH,RECUAY,wrf5,temp,20260824,20260922,"00Z,12Z",D1,3h,0.818,3.045,3.542,0.938,464
47259496,RECUAY,ANCASH,RECUAY,mpas15,temp,20260824,20260922,00Z,D1,3h,-7.028,7.055,8.167,0.92,236
110138,SHAQUEK,ANCASH,RECUAY,ecmwf,temp,20260824,20260922,"00Z,12Z",D1,3h,-6.267,6.267,6.542,0.81,470
110138,SHAQUEK,ANCASH,RECUAY,gfs,temp,20260824,20260922,"00Z,12Z",D1,3h,-3.631,3.636,3.861,0.852,478
110138,SHAQUEK,ANCASH,RECUAY,eta5,temp,20260824,20260922,"00Z,12Z",D1,3h,-4.593,4.593,4.844,0.821,414
110138,SHAQUEK,ANCASH,RECUAY,wrf5,temp,20260824,20260922,"00Z,12Z",D1,3h,-1.286,1.691,2.085,0.832,470
110138,SHAQUEK,ANCASH,RECUAY,mpas15,temp,20260824,20260922,00Z,D1,3h,-2.583,2.666,2.999,0.836,239
211601,SAN JACINTO,ANCASH,SANTA,ecmwf,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
211601,SAN JACINTO,ANCASH,SANTA,gfs,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
211601,SAN JACINTO,ANCASH,SANTA,eta5,temp,20260824,20260922,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
