codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,ecmwf,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,gfs,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,eta5,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,wrf5,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,mpas15,temp,20260822,20260920,00Z,D1,3h,S/D,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260822,20260920,"00Z,12Z",D1,3h,-3.122,3.199,3.616,0.866,472
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,gfs,temp,20260822,20260920,"00Z,12Z",D1,3h,-3.249,3.338,3.712,0.899,480
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,eta5,temp,20260822,20260920,"00Z,12Z",D1,3h,-0.626,1.519,1.932,0.891,417
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,wrf5,temp,20260822,20260920,"00Z,12Z",D1,3h,0.781,1.604,2.008,0.899,472
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,mpas15,temp,20260822,20260920,00Z,D1,3h,-4.274,4.276,4.534,0.925,240
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,gfs,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,eta5,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,wrf5,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,mpas15,temp,20260822,20260920,00Z,D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,gfs,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,eta5,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,wrf5,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,mpas15,temp,20260822,20260920,00Z,D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,ecmwf,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,gfs,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,eta5,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,wrf5,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,mpas15,temp,20260822,20260920,00Z,D1,3h,S/D,S/D,S/D,S/D,0
109096,BUENA VISTA,ANCASH,CASMA,ecmwf,temp,20260822,20260920,"00Z,12Z",D1,3h,0.21,1.16,1.569,0.887,465
109096,BUENA VISTA,ANCASH,CASMA,gfs,temp,20260822,20260920,"00Z,12Z",D1,3h,-1.549,1.753,2.322,0.872,472
109096,BUENA VISTA,ANCASH,CASMA,eta5,temp,20260822,20260920,"00Z,12Z",D1,3h,-1.266,1.931,2.24,0.887,409
109096,BUENA VISTA,ANCASH,CASMA,wrf5,temp,20260822,20260920,"00Z,12Z",D1,3h,-0.634,1.236,1.529,0.907,464
109096,BUENA VISTA,ANCASH,CASMA,mpas15,temp,20260822,20260920,00Z,D1,3h,-1.745,1.95,2.345,0.87,236
4725A10C,CHAVIN,ANCASH,HUARI,ecmwf,temp,20260822,20260920,"00Z,12Z",D1,3h,-9.204,9.204,9.547,0.886,467
4725A10C,CHAVIN,ANCASH,HUARI,gfs,temp,20260822,20260920,"00Z,12Z",D1,3h,-8.032,8.04,8.521,0.876,474
4725A10C,CHAVIN,ANCASH,HUARI,eta5,temp,20260822,20260920,"00Z,12Z",D1,3h,-5.162,5.276,5.747,0.851,412
4725A10C,CHAVIN,ANCASH,HUARI,wrf5,temp,20260822,20260920,"00Z,12Z",D1,3h,-2.396,2.803,3.385,0.897,466
4725A10C,CHAVIN,ANCASH,HUARI,mpas15,temp,20260822,20260920,00Z,D1,3h,-9.953,9.953,10.331,0.893,237
109091,SAUCEPAMPA,ANCASH,HUAYLAS,ecmwf,temp,20260822,20260920,"00Z,12Z",D1,3h,-4.494,4.574,5.181,0.898,468
109091,SAUCEPAMPA,ANCASH,HUAYLAS,gfs,temp,20260822,20260920,"00Z,12Z",D1,3h,-6.655,6.655,7.504,0.866,476
109091,SAUCEPAMPA,ANCASH,HUAYLAS,eta5,temp,20260822,20260920,"00Z,12Z",D1,3h,0.456,1.588,1.947,0.906,413
109091,SAUCEPAMPA,ANCASH,HUAYLAS,wrf5,temp,20260822,20260920,"00Z,12Z",D1,3h,-2.426,2.673,3.561,0.9,468
109091,SAUCEPAMPA,ANCASH,HUAYLAS,mpas15,temp,20260822,20260920,00Z,D1,3h,-9.563,9.563,10.03,0.877,238
472182DA,PUENTE CAHUA,ANCASH,OCROS,ecmwf,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,gfs,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,eta5,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,wrf5,temp,20260822,20260920,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,mpas15,temp,20260822,20260920,00Z,D1,3h,S/D,S/D,S/D,S/D,0
47E89394,PACHACOTO,ANCASH,RECUAY,ecmwf,temp,20260822,20260920,"00Z,12Z",D1,3h,0.087,2.754,3.383,0.903,472
47E89394,PACHACOTO,ANCASH,RECUAY,gfs,temp,20260822,20260920,"00Z,12Z",D1,3h,-0.452,4.048,4.724,0.874,480
47E89394,PACHACOTO,ANCASH,RECUAY,eta5,temp,20260822,20260920,"00Z,12Z",D1,3h,1.748,2.626,3.267,0.911,417
47E89394,PACHACOTO,ANCASH,RECUAY,wrf5,temp,20260822,20260920,"00Z,12Z",D1,3h,1.697,3.294,3.946,0.906,472
47E89394,PACHACOTO,ANCASH,RECUAY,mpas15,temp,20260822,20260920,00Z,D1,3h,-3.124,4.246,5.285,0.856,240
47259496,RECUAY,ANCASH,RECUAY,ecmwf,temp,20260822,20260920,"00Z,12Z",D1,3h,-2.911,3.395,4.168,0.942,467
47259496,RECUAY,ANCASH,RECUAY,gfs,temp,20260822,20260920,"00Z,12Z",D1,3h,-3.436,4.814,5.911,0.912,474
47259496,RECUAY,ANCASH,RECUAY,eta5,temp,20260822,20260920,"00Z,12Z",D1,3h,-1.2,2.557,3.066,0.915,411
47259496,RECUAY,ANCASH,RECUAY,wrf5,temp,20260822,20260920,"00Z,12Z",D1,3h,0.847,2.95,3.461,0.936,466
47259496,RECUAY,ANCASH,RECUAY,mpas15,temp,20260822,20260920,00Z,D1,3h,-7.058,7.085,8.136,0.919,237
110138,SHAQUEK,ANCASH,RECUAY,ecmwf,temp,20260822,20260920,"00Z,12Z",D1,3h,-6.28,6.293,6.587,0.789,470
