codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,ecmwf,pp,20260823,20260921,"00Z,12Z",D1,6h,-0.143,0.794,1.653,0.467,56
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,gfs,pp,20260823,20260921,"00Z,12Z",D1,6h,-0.167,0.852,1.792,0.172,43
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,eta5,pp,20260823,20260921,"00Z,12Z",D1,6h,-0.146,0.494,1.305,0.115,48
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,wrf5,pp,20260823,20260921,"00Z,12Z",D1,6h,-0.231,0.95,2.172,0.015,57
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,mpas15,pp,20260823,20260921,00Z,D1,6h,-0.3,0.81,1.817,0.201,29
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260823,20260921,"00Z,12Z",D1,6h,0.617,0.828,1.434,0.216,224
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,gfs,pp,20260823,20260921,"00Z,12Z",D1,6h,0.239,0.515,1.03,0.169,170
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,eta5,pp,20260823,20260921,"00Z,12Z",D1,6h,0.201,0.448,1.013,0.072,196
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,wrf5,pp,20260823,20260921,"00Z,12Z",D1,6h,-0.147,0.192,0.885,0.048,225
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,mpas15,pp,20260823,20260921,00Z,D1,6h,0.816,0.969,1.532,0.19,114
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260823,20260921,"00Z,12Z",D1,6h,0.395,0.431,0.904,0.36,222
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,gfs,pp,20260823,20260921,"00Z,12Z",D1,6h,0.238,0.316,0.603,0.444,169
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,eta5,pp,20260823,20260921,"00Z,12Z",D1,6h,0.385,0.529,0.885,0.093,192
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,wrf5,pp,20260823,20260921,"00Z,12Z",D1,6h,-0.056,0.117,0.474,0.159,220
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,mpas15,pp,20260823,20260921,00Z,D1,6h,1.134,1.209,2.207,0.097,112
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260823,20260921,"00Z,12Z",D1,6h,0.32,0.466,0.926,0.377,216
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,gfs,pp,20260823,20260921,"00Z,12Z",D1,6h,0.609,0.735,1.476,0.234,164
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,eta5,pp,20260823,20260921,"00Z,12Z",D1,6h,0.569,0.716,1.223,0.166,186
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,wrf5,pp,20260823,20260921,"00Z,12Z",D1,6h,-0.082,0.173,0.615,0.348,214
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,mpas15,pp,20260823,20260921,00Z,D1,6h,1.005,1.1,2.08,0.315,109
220907,NARANJITO,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260823,20260921,"00Z,12Z",D1,6h,0.217,0.354,0.788,0.22,224
220907,NARANJITO,AMAZONAS,UTCUBAMBA,gfs,pp,20260823,20260921,"00Z,12Z",D1,6h,0.482,0.638,1.228,0.166,170
220907,NARANJITO,AMAZONAS,UTCUBAMBA,eta5,pp,20260823,20260921,"00Z,12Z",D1,6h,0.601,0.766,1.382,0.042,194
220907,NARANJITO,AMAZONAS,UTCUBAMBA,wrf5,pp,20260823,20260921,"00Z,12Z",D1,6h,-0.042,0.128,0.699,0.154,222
220907,NARANJITO,AMAZONAS,UTCUBAMBA,mpas15,pp,20260823,20260921,00Z,D1,6h,1.09,1.198,2.247,0.169,113
109096,BUENA VISTA,ANCASH,CASMA,ecmwf,pp,20260823,20260921,"00Z,12Z",D1,6h,0.002,0.003,0.009,S/D,207
109096,BUENA VISTA,ANCASH,CASMA,gfs,pp,20260823,20260921,"00Z,12Z",D1,6h,0.007,0.007,0.022,S/D,157
109096,BUENA VISTA,ANCASH,CASMA,eta5,pp,20260823,20260921,"00Z,12Z",D1,6h,0.001,0.001,0.005,S/D,179
109096,BUENA VISTA,ANCASH,CASMA,wrf5,pp,20260823,20260921,"00Z,12Z",D1,6h,0.001,0.001,0.003,S/D,206
109096,BUENA VISTA,ANCASH,CASMA,mpas15,pp,20260823,20260921,00Z,D1,6h,0.005,0.005,0.049,S/D,105
4725A10C,CHAVIN,ANCASH,HUARI,ecmwf,pp,20260823,20260921,"00Z,12Z",D1,6h,0.463,0.555,1.425,0.297,211
4725A10C,CHAVIN,ANCASH,HUARI,gfs,pp,20260823,20260921,"00Z,12Z",D1,6h,0.882,0.993,1.975,0.191,158
4725A10C,CHAVIN,ANCASH,HUARI,eta5,pp,20260823,20260921,"00Z,12Z",D1,6h,0.125,0.241,0.494,0.213,186
4725A10C,CHAVIN,ANCASH,HUARI,wrf5,pp,20260823,20260921,"00Z,12Z",D1,6h,0.092,0.263,0.817,0.151,210
4725A10C,CHAVIN,ANCASH,HUARI,mpas15,pp,20260823,20260921,00Z,D1,6h,1.214,1.311,2.907,0.154,107
109091,SAUCEPAMPA,ANCASH,HUAYLAS,ecmwf,pp,20260823,20260921,"00Z,12Z",D1,6h,0.288,0.288,0.669,S/D,222
109091,SAUCEPAMPA,ANCASH,HUAYLAS,gfs,pp,20260823,20260921,"00Z,12Z",D1,6h,0.829,0.829,1.445,S/D,169
109091,SAUCEPAMPA,ANCASH,HUAYLAS,eta5,pp,20260823,20260921,"00Z,12Z",D1,6h,0.183,0.183,0.444,S/D,194
109091,SAUCEPAMPA,ANCASH,HUAYLAS,wrf5,pp,20260823,20260921,"00Z,12Z",D1,6h,0.025,0.025,0.109,S/D,223
109091,SAUCEPAMPA,ANCASH,HUAYLAS,mpas15,pp,20260823,20260921,00Z,D1,6h,0.938,0.938,1.924,S/D,113
472182DA,PUENTE CAHUA,ANCASH,OCROS,ecmwf,pp,20260823,20260921,"00Z,12Z",D1,6h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,gfs,pp,20260823,20260921,"00Z,12Z",D1,6h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,eta5,pp,20260823,20260921,"00Z,12Z",D1,6h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,wrf5,pp,20260823,20260921,"00Z,12Z",D1,6h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,mpas15,pp,20260823,20260921,00Z,D1,6h,S/D,S/D,S/D,S/D,0
47E89394,PACHACOTO,ANCASH,RECUAY,ecmwf,pp,20260823,20260921,"00Z,12Z",D1,6h,0.192,0.242,0.583,0.212,226
47E89394,PACHACOTO,ANCASH,RECUAY,gfs,pp,20260823,20260921,"00Z,12Z",D1,6h,0.49,0.496,0.964,0.328,172
47E89394,PACHACOTO,ANCASH,RECUAY,eta5,pp,20260823,20260921,"00Z,12Z",D1,6h,0.069,0.141,0.419,0.349,198
47E89394,PACHACOTO,ANCASH,RECUAY,wrf5,pp,20260823,20260921,"00Z,12Z",D1,6h,0.292,0.331,1.222,0.322,227
47E89394,PACHACOTO,ANCASH,RECUAY,mpas15,pp,20260823,20260921,00Z,D1,6h,0.65,0.671,1.669,0.063,115
