codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,rmse,spearman,n,pod_0p1,far_0p1,csi_0p1,eventos_0p1,pod_1,far_1,csi_1,eventos_1,pod_5,far_5,csi_5,eventos_5,pod_25,far_25,csi_25,eventos_25
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,ecmwf,pp,20260826,20260924,"00Z,12Z",D1,6h,-0.231,1.734,0.328,50,0.714,0.615,0.333,14,0.333,0.778,0.154,6,0.0,S/D,0.0,4,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,gfs,pp,20260826,20260924,"00Z,12Z",D1,6h,-0.229,1.903,0.232,50,0.929,0.606,0.382,14,0.0,1.0,0.0,6,0.0,S/D,0.0,4,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,eta5,pp,20260826,20260924,"00Z,12Z",D1,6h,0.275,1.28,0.244,41,0.7,0.682,0.28,10,0.667,0.833,0.154,3,0.0,S/D,0.0,2,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,wrf5,pp,20260826,20260924,"00Z,12Z",D1,6h,-0.244,2.337,-0.127,49,0.143,0.833,0.083,14,0.0,1.0,0.0,6,0.0,1.0,0.0,4,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,mpas15,pp,20260826,20260924,00Z,D1,6h,-0.388,1.909,0.069,25,0.286,0.667,0.182,7,0.333,0.667,0.2,3,0.0,S/D,0.0,2,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260826,20260924,"00Z,12Z",D1,6h,0.583,1.295,0.184,232,1.0,0.934,0.066,10,0.75,0.897,0.1,8,0.0,1.0,0.0,4,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,gfs,pp,20260826,20260924,"00Z,12Z",D1,6h,0.248,0.93,0.246,232,1.0,0.933,0.067,10,0.625,0.828,0.156,8,0.0,S/D,0.0,4,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,eta5,pp,20260826,20260924,"00Z,12Z",D1,6h,1.105,2.262,0.147,197,0.889,0.927,0.072,9,0.571,0.938,0.059,7,0.333,0.909,0.077,3,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,wrf5,pp,20260826,20260924,"00Z,12Z",D1,6h,-0.123,0.852,-0.029,229,0.1,0.917,0.048,10,0.0,S/D,0.0,8,0.0,S/D,0.0,4,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,mpas15,pp,20260826,20260924,00Z,D1,6h,0.791,1.545,0.111,116,0.6,0.952,0.046,5,0.75,0.929,0.07,4,0.5,0.5,0.333,2,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260826,20260924,"00Z,12Z",D1,6h,0.36,0.843,0.316,228,0.938,0.851,0.147,16,0.625,0.853,0.135,8,S/D,1.0,0.0,0,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,gfs,pp,20260826,20260924,"00Z,12Z",D1,6h,0.315,0.82,0.305,228,0.938,0.858,0.14,16,0.5,0.879,0.108,8,S/D,1.0,0.0,0,S/D,S/D,S/D,0
