codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
4725A10C,CHAVIN,ANCASH,HUARI,mpas15,pp,20260822,20260920,00Z,D1,6h,1.247,1.343,2.934,0.147,108
109091,SAUCEPAMPA,ANCASH,HUAYLAS,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.291,0.291,0.672,S/D,220
109091,SAUCEPAMPA,ANCASH,HUAYLAS,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.838,0.838,1.455,S/D,167
109091,SAUCEPAMPA,ANCASH,HUAYLAS,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.185,0.185,0.445,S/D,194
109091,SAUCEPAMPA,ANCASH,HUAYLAS,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.026,0.026,0.109,S/D,221
109091,SAUCEPAMPA,ANCASH,HUAYLAS,mpas15,pp,20260822,20260920,00Z,D1,6h,1.0,1.0,1.978,S/D,112
472182DA,PUENTE CAHUA,ANCASH,OCROS,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,S/D,S/D,S/D,S/D,0
472182DA,PUENTE CAHUA,ANCASH,OCROS,mpas15,pp,20260822,20260920,00Z,D1,6h,S/D,S/D,S/D,S/D,0
47E89394,PACHACOTO,ANCASH,RECUAY,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.19,0.24,0.583,0.212,226
47E89394,PACHACOTO,ANCASH,RECUAY,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.501,0.507,0.972,0.325,172
47E89394,PACHACOTO,ANCASH,RECUAY,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.069,0.14,0.417,0.345,200
47E89394,PACHACOTO,ANCASH,RECUAY,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.294,0.333,1.223,0.315,227
47E89394,PACHACOTO,ANCASH,RECUAY,mpas15,pp,20260822,20260920,00Z,D1,6h,0.659,0.68,1.672,0.059,115
47259496,RECUAY,ANCASH,RECUAY,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.16,0.228,0.532,0.231,217
47259496,RECUAY,ANCASH,RECUAY,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.488,0.527,0.969,0.193,165
47259496,RECUAY,ANCASH,RECUAY,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.062,0.204,0.507,0.19,193
47259496,RECUAY,ANCASH,RECUAY,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.214,0.306,1.052,0.399,216
47259496,RECUAY,ANCASH,RECUAY,mpas15,pp,20260822,20260920,00Z,D1,6h,0.636,0.687,1.668,0.107,110
110138,SHAQUEK,ANCASH,RECUAY,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.355,0.355,0.938,S/D,226
110138,SHAQUEK,ANCASH,RECUAY,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.25,0.25,0.548,S/D,173
110138,SHAQUEK,ANCASH,RECUAY,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.005,0.005,0.026,S/D,200
110138,SHAQUEK,ANCASH,RECUAY,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.033,0.033,0.197,S/D,227
110138,SHAQUEK,ANCASH,RECUAY,mpas15,pp,20260822,20260920,00Z,D1,6h,0.283,0.283,0.874,S/D,115
211601,SAN JACINTO,ANCASH,SANTA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,S/D,S/D,S/D,S/D,0
211601,SAN JACINTO,ANCASH,SANTA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,S/D,S/D,S/D,S/D,0
211601,SAN JACINTO,ANCASH,SANTA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,S/D,S/D,S/D,S/D,0
211601,SAN JACINTO,ANCASH,SANTA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,S/D,S/D,S/D,S/D,0
211601,SAN JACINTO,ANCASH,SANTA,mpas15,pp,20260822,20260920,00Z,D1,6h,S/D,S/D,S/D,S/D,0
113253,CURAHUASI,APURIMAC,ABANCAY,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.547,0.586,1.193,0.372,226
113253,CURAHUASI,APURIMAC,ABANCAY,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.814,0.872,1.717,0.317,174
113253,CURAHUASI,APURIMAC,ABANCAY,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.071,0.181,0.49,0.345,201
113253,CURAHUASI,APURIMAC,ABANCAY,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.209,0.296,1.299,0.547,226
113253,CURAHUASI,APURIMAC,ABANCAY,mpas15,pp,20260822,20260920,00Z,D1,6h,0.645,0.734,1.294,0.237,115
47263360,GRANJA SAN ANTONIO,APURIMAC,ABANCAY,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.395,0.519,1.14,0.561,215
47263360,GRANJA SAN ANTONIO,APURIMAC,ABANCAY,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.644,0.827,1.688,0.581,162
47263360,GRANJA SAN ANTONIO,APURIMAC,ABANCAY,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.125,0.214,0.771,0.393,189
47263360,GRANJA SAN ANTONIO,APURIMAC,ABANCAY,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.38,0.587,1.804,0.63,214
47263360,GRANJA SAN ANTONIO,APURIMAC,ABANCAY,mpas15,pp,20260822,20260920,00Z,D1,6h,0.743,0.899,1.624,0.312,109
