codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,rmse,spearman,n,pod_0p1,far_0p1,csi_0p1,eventos_0p1,pod_1,far_1,csi_1,eventos_1,pod_5,far_5,csi_5,eventos_5,pod_25,far_25,csi_25,eventos_25
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,ecmwf,pp,20260827,20260925,"00Z,12Z",D1,6h,-0.218,1.82,0.242,46,0.714,0.643,0.312,14,0.333,0.8,0.143,6,0.0,S/D,0.0,4,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,gfs,pp,20260827,20260925,"00Z,12Z",D1,6h,-0.188,2.01,0.087,46,0.929,0.629,0.361,14,0.0,1.0,0.0,6,0.0,S/D,0.0,4,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,eta5,pp,20260827,20260925,"00Z,12Z",D1,6h,0.325,1.34,0.179,38,0.7,0.696,0.269,10,0.667,0.846,0.143,3,0.0,S/D,0.0,2,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,wrf5,pp,20260827,20260925,"00Z,12Z",D1,6h,-0.266,2.439,-0.183,45,0.143,0.833,0.083,14,0.0,1.0,0.0,6,0.0,1.0,0.0,4,S/D,S/D,S/D,0
472B55E0,PUENTE SALINAS AMOJAO,AMAZONAS,BAGUA,mpas15,pp,20260827,20260925,00Z,D1,6h,-0.291,2.087,-0.002,23,0.286,0.714,0.167,7,0.333,0.75,0.167,3,0.0,S/D,0.0,2,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260827,20260925,"00Z,12Z",D1,6h,0.589,1.297,0.182,232,1.0,0.936,0.064,10,0.75,0.897,0.1,8,0.0,1.0,0.0,4,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,gfs,pp,20260827,20260925,"00Z,12Z",D1,6h,0.268,0.94,0.239,232,1.0,0.936,0.064,10,0.625,0.839,0.147,8,0.0,S/D,0.0,4,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,eta5,pp,20260827,20260925,"00Z,12Z",D1,6h,1.16,2.305,0.138,195,0.889,0.93,0.07,9,0.571,0.941,0.056,7,0.333,0.909,0.077,3,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,wrf5,pp,20260827,20260925,"00Z,12Z",D1,6h,-0.122,0.852,-0.032,229,0.1,0.917,0.048,10,0.0,S/D,0.0,8,0.0,S/D,0.0,4,S/D,S/D,S/D,0
472C57D4,BAGUA,AMAZONAS,UTCUBAMBA,mpas15,pp,20260827,20260925,00Z,D1,6h,0.842,1.573,0.102,116,0.6,0.955,0.043,5,0.75,0.935,0.064,4,0.5,0.5,0.333,2,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260827,20260925,"00Z,12Z",D1,6h,0.36,0.843,0.316,228,0.938,0.851,0.147,16,0.625,0.853,0.135,8,S/D,1.0,0.0,0,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,gfs,pp,20260827,20260925,"00Z,12Z",D1,6h,0.319,0.822,0.302,228,0.938,0.861,0.138,16,0.5,0.879,0.108,8,S/D,1.0,0.0,0,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,eta5,pp,20260827,20260925,"00Z,12Z",D1,6h,1.839,3.244,0.103,191,0.786,0.914,0.084,14,0.5,0.952,0.046,8,S/D,1.0,0.0,0,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,wrf5,pp,20260827,20260925,"00Z,12Z",D1,6h,-0.046,0.461,0.112,224,0.067,0.889,0.043,15,0.0,1.0,0.0,7,S/D,S/D,S/D,0,S/D,S/D,S/D,0
472B607A,CORRAL QUEMADO,AMAZONAS,UTCUBAMBA,mpas15,pp,20260827,20260925,00Z,D1,6h,1.039,1.88,0.142,114,0.75,0.897,0.1,8,0.75,0.938,0.061,4,S/D,1.0,0.0,0,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260827,20260925,"00Z,12Z",D1,6h,0.25,0.938,0.354,222,1.0,0.864,0.136,16,0.375,0.87,0.107,8,0.0,1.0,0.0,2,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,gfs,pp,20260827,20260925,"00Z,12Z",D1,6h,0.704,1.489,0.323,222,0.938,0.896,0.103,16,0.625,0.909,0.086,8,0.0,1.0,0.0,2,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,eta5,pp,20260827,20260925,"00Z,12Z",D1,6h,1.854,3.527,0.115,185,0.769,0.919,0.079,13,0.333,0.978,0.021,6,0.0,1.0,0.0,1,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,wrf5,pp,20260827,20260925,"00Z,12Z",D1,6h,-0.108,0.688,0.376,218,0.312,0.688,0.185,16,0.125,0.5,0.111,8,0.0,S/D,0.0,2,S/D,S/D,S/D,0
472B2370,MAGUNCHAL,AMAZONAS,UTCUBAMBA,mpas15,pp,20260827,20260925,00Z,D1,6h,1.026,2.245,0.303,111,1.0,0.83,0.17,8,1.0,0.897,0.103,4,0.0,1.0,0.0,1,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,ecmwf,pp,20260827,20260925,"00Z,12Z",D1,6h,0.281,1.01,0.186,230,1.0,0.889,0.111,14,0.0,1.0,0.0,4,0.0,1.0,0.0,2,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,gfs,pp,20260827,20260925,"00Z,12Z",D1,6h,0.531,1.166,0.221,230,1.0,0.9,0.1,14,0.5,0.959,0.039,4,0.0,S/D,0.0,2,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,eta5,pp,20260827,20260925,"00Z,12Z",D1,6h,2.316,4.4,0.086,193,0.667,0.933,0.065,12,0.0,1.0,0.0,3,0.0,1.0,0.0,2,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,wrf5,pp,20260827,20260925,"00Z,12Z",D1,6h,-0.045,0.658,0.16,226,0.143,0.867,0.074,14,0.0,1.0,0.0,4,0.0,S/D,0.0,2,S/D,S/D,S/D,0
220907,NARANJITO,AMAZONAS,UTCUBAMBA,mpas15,pp,20260827,20260925,00Z,D1,6h,1.095,2.285,0.151,115,0.857,0.875,0.122,7,1.0,0.95,0.05,2,0.0,1.0,0.0,1,S/D,S/D,S/D,0
109096,BUENA VISTA,ANCASH,CASMA,ecmwf,pp,20260827,20260925,"00Z,12Z",D1,6h,0.003,0.011,S/D,214,S/D,S/D,S/D,0,S/D,S/D,S/D,0,S/D,S/D,S/D,0,S/D,S/D,S/D,0
109096,BUENA VISTA,ANCASH,CASMA,gfs,pp,20260827,20260925,"00Z,12Z",D1,6h,0.006,0.02,S/D,214,S/D,1.0,0.0,0,S/D,S/D,S/D,0,S/D,S/D,S/D,0,S/D,S/D,S/D,0
109096,BUENA VISTA,ANCASH,CASMA,eta5,pp,20260827,20260925,"00Z,12Z",D1,6h,0.002,0.013,S/D,178,S/D,1.0,0.0,0,S/D,S/D,S/D,0,S/D,S/D,S/D,0,S/D,S/D,S/D,0
109096,BUENA VISTA,ANCASH,CASMA,wrf5,pp,20260827,20260925,"00Z,12Z",D1,6h,0.001,0.004,S/D,210,S/D,S/D,S/D,0,S/D,S/D,S/D,0,S/D,S/D,S/D,0,S/D,S/D,S/D,0
109096,BUENA VISTA,ANCASH,CASMA,mpas15,pp,20260827,20260925,00Z,D1,6h,0.0,0.0,S/D,107,S/D,S/D,S/D,0,S/D,S/D,S/D,0,S/D,S/D,S/D,0,S/D,S/D,S/D,0
4725A10C,CHAVIN,ANCASH,HUARI,ecmwf,pp,20260827,20260925,"00Z,12Z",D1,6h,0.43,1.429,0.275,218,0.8,0.843,0.151,20,0.5,0.769,0.188,12,S/D,1.0,0.0,0,S/D,S/D,S/D,0
4725A10C,CHAVIN,ANCASH,HUARI,gfs,pp,20260827,20260925,"00Z,12Z",D1,6h,0.748,1.71,0.126,218,0.75,0.885,0.111,20,0.25,0.942,0.049,12,S/D,1.0,0.0,0,S/D,S/D,S/D,0
4725A10C,CHAVIN,ANCASH,HUARI,eta5,pp,20260827,20260925,"00Z,12Z",D1,6h,0.443,1.075,0.217,185,0.765,0.831,0.16,17,0.4,0.897,0.089,10,S/D,S/D,S/D,0,S/D,S/D,S/D,0
4725A10C,CHAVIN,ANCASH,HUARI,wrf5,pp,20260827,20260925,"00Z,12Z",D1,6h,0.142,1.017,0.128,214,0.35,0.851,0.117,20,0.0,1.0,0.0,12,S/D,1.0,0.0,0,S/D,S/D,S/D,0
4725A10C,CHAVIN,ANCASH,HUARI,mpas15,pp,20260827,20260925,00Z,D1,6h,1.32,3.07,0.204,109,0.7,0.873,0.121,10,0.667,0.895,0.1,6,S/D,1.0,0.0,0,S/D,S/D,S/D,0
109091,SAUCEPAMPA,ANCASH,HUAYLAS,ecmwf,pp,20260827,20260925,"00Z,12Z",D1,6h,0.39,0.888,0.002,230,0.5,0.992,0.008,2,S/D,1.0,0.0,0,S/D,1.0,0.0,0,S/D,S/D,S/D,0
109091,SAUCEPAMPA,ANCASH,HUAYLAS,gfs,pp,20260827,20260925,"00Z,12Z",D1,6h,0.876,1.568,0.158,230,1.0,0.988,0.012,2,S/D,1.0,0.0,0,S/D,1.0,0.0,0,S/D,S/D,S/D,0
