codigo,estacion,latitud,longitud,2026092000,2026092001
4726158C,SICUANI,-14.23736,-71.23669,12.3,9.0
114123,MARCA CUNKA,-14.49847,-72.08952,10.7,8.3
4729A090,SANTO TOMAS,-14.44896,-72.09645,11.3,8.6
114124,HUAYHUAHUASI,-14.67242,-71.51991,10.7,7.7
47E880E2,PICHARI,-12.52296,-73.83956,25.9,23.6
112264,PONGO DE MAINIQUE,-12.24986,-72.82447,24.3,22.4
4729658E,SAN PABLO,-13.02506,-72.61988,18.0,15.5
4722A338,ACJANACO ,-13.19672,-71.61941,8.3,6.7
210007,PAUCARTAMBO,-13.3177,-71.59741,8.1,6.6
113247,ASHANAKU,-13.58048,-71.58878,8.9,8.0
113254,QUINCEMIL,-13.2289,-70.7544,24.6,23.2
472A9204,CHILCA,-13.2235,-72.34056,9.0,7.3
4727C11E,HUAYLLABAMBA,-13.26581,-72.44881,9.9,8.3
472935F2,INTIHUATANA H,-13.18517,-72.52319,12.2,10.2
472852EE,INTIHUATANA M,-13.17418,-72.56036,13.3,11.1
472897F0,MACHUPICCHU,-13.16655,-72.54585,13.3,11.1
4729950A,PACAYMAYO,-13.23419,-72.49841,10.4,8.6
113255,URUBAMBA,-13.3052,-72.1246,10.8,9.7
4720CDF8,COCHAMARCA,-12.99,-75.51019,4.7,4.9
47292684,HUACHOS,-13.21667,-75.53333,12.2,10.9
472722EC,HUANCAVELICA,-12.77163,-75.01237,7.0,5.5
47284198,CHALLACA,-13.7898,-75.417,18.1,15.5
472811E4,CHALLACA M,-13.7905,-75.3821,18.1,15.5
4728F216,CORDOVA,-14.03333,-75.16667,14.8,12.2
4728C78C,CUSICANCHA,-13.48333,-75.3,7.3,6.2
213507,RAMADILLAS,-13.80857,-75.50129,19.7,16.9
4729131E,SANTIAGO DE CHOCORVOS,-13.83333,-75.25,12.6,10.5
112269,COCHABAMBA GRANDE,-12.19238,-74.51493,12.0,10.4
110146,QUISCA,-10.08922,-76.21556,15.7,14.6
47E845FC,CACHICOTO,-9.21931,-76.21294,22.6,21.2
4720EB14,SAN MARTIN,-9.40385,-76.76482,13.2,11.7
472D0552,CHINCHAVITO,-9.515,-75.9425,21.5,19.9
472B730C,PUENTE TARUCA,-9.85056,-76.1519,16.8,15.3
110140,JESUS DE LAURICOCHA,-10.07819,-76.63119,5.8,6.1
472DA5AA,PUENTE BELLA,-9.32411,-76.02935,23.8,22.3
472D1624,PUENTE PEREZ,-9.34694,-75.9825,23.4,22.1
47270400,TINGO MARIA,-9.29601,-76.00207,23.8,22.3
4727A4F8,PUERTO INCA,-9.3851,-74.96376,28.2,26.6
109094,PUCA PUCA,-9.87895,-76.5909,5.5,5.9
4728A26A,CONTA M,-13.43936,-75.97517,19.8,17.9
4728B11C,FONAGRO,-13.45944,-76.15167,19.7,18.7
4728E160,SAN PEDRO DE HUACARPANA,-13.04889,-75.64806,6.7,6.7
472A446C,BETA SANTIAGO,-14.23739,-75.67022,22.1,21.4
213503,HUAMANI EL TAMBO,-13.84386,-75.58944,21.4,19.0
213506,LOS MOLINOS,-13.9102,-75.66696,22.0,20.0
