codigo,estacion,latitud,longitud,2026092512,2026092513
114119,VISCA VISCA,-14.7228,-71.9787,7.6,11.5
47280292,COTAHUASI,-15.21134,-72.89331,14.1,17.3
115151,CUYAU,-15.21794,-72.93564,13.8,17.1
4729D600,PAMPA CANGALLO,-13.56184,-74.19889,7.9,11.9
113248,SANTA CRUZ DE HOSPICIO,-13.4383,-74.7993,6.4,10.3
250900,PUENTE PAMPAS GORE APU,-13.43493,-73.82737,15.5,18.7
114122,CCONTACC,-14.5423,-74.2642,8.0,11.9
47290068,HUAC-HUAS,-14.12861,-74.94583,11.7,14.3
114127,PAMPA GALERAS,-14.66917,-74.40361,7.7,12.0
114121,HURAY HUMA,-14.564,-73.5558,6.3,10.2
115155,PAUZA,-15.275,-73.34083,15.4,18.3
4725B27A,PAUCARAY,-14.04361,-73.63833,7.9,12.4
4729F0EC,CAJABAMBA,-7.62167,-78.05111,11.2,14.1
472A32FC,CRISNEJAS,-7.4639,-78.1131,16.2,18.9
472645F0,UNC CAJAMARCA,-7.16747,-78.49307,13.0,15.1
472501F4,BALSAS,-6.84461,-78.03025,19.5,22.5
4726631C,CELENDIN,-6.85303,-78.14487,12.9,15.3
4726C3E4,CHOTA,-6.55405,-78.67588,13.1,15.6
47E94706,HUAMBOS,-6.45364,-78.96319,15.9,18.7
47E1D6C2,PUENTE SAN CARLOS,-6.61515,-79.27136,21.5,23.1
47E1F02E,TUNEL CHOTANO,-6.54049,-78.78432,15.1,17.9
472C92CA,CASCABAMBA,-7.38407,-78.72682,10.7,12.6
472C81BC,GUZMANGO,-7.38133,-78.9033,16.4,18.4
4727470A,PUENTE CHILETE,-7.21968,-78.83798,21.1,23.5
4726E508,YONAN GORE,-7.25592,-79.09909,20.3,22.6
472B3006,CUMBA,-5.94135,-78.66413,22.9,25.6
4726A602,CUTERVO,-6.37914,-78.81339,13.2,15.8
4726D092,BAMBAMARCA H,-6.66975,-78.54119,10.4,12.2
472680EE,BAMBAMARCA M,-6.67981,-78.52346,11.5,13.7
4727F484,CHUGUR,-6.66878,-78.738,13.3,15.1
472A571A,HUALLAPE,-5.45077,-78.69579,23.5,26.0
47269398,JAEN,-5.67667,-78.77418,22.6,25.8
105136,SAUZAL,-5.77168,-79.39769,17.2,20.0
4725E206,SAN MARCOS,-7.32249,-78.17269,12.9,15.5
47E207A4,TONGOD,-6.74456,-78.81392,10.1,11.8
47E1C5B4,CAÑAD,-6.64934,-78.99733,16.6,19.5
47E3055E,CHANCAY BAÑOS,-6.57489,-78.86721,15.9,18.7
47E1E358,PUENTE AMBAN,-6.58271,-78.91262,16.8,19.7
114132,POMACANCHI,-14.0278,-71.5726,8.2,13.1
113252,ANCACHURO,-13.4724,-72.2188,10.4,14.5
47294362,SORAYPAMPA,-13.3955,-72.5736,4.7,7.5
472976F8,CALCA,-13.33333,-71.95524,7.7,10.5
472A6280,NUEVO PISAC,-13.42264,-71.85388,7.5,10.7
114126,PAYAPUNKU,-14.4261,-71.28145,6.8,11.5
114125,SAUSAYA,-14.52931,-71.35831,8.8,14.1
472E025C,QUISOQUEPINA,-13.79505,-70.88622,3.2,4.7
114118,SALCCA,-14.16991,-71.23186,8.0,12.0
47E8B578,SIBINACOCHA,-13.92214,-71.01823,5.6,9.6
4726158C,SICUANI,-14.23736,-71.23669,8.5,14.0
114123,MARCA CUNKA,-14.49847,-72.08952,8.1,12.6
4729A090,SANTO TOMAS,-14.44896,-72.09645,8.4,13.2
114124,HUAYHUAHUASI,-14.67242,-71.51991,9.1,13.9
47E880E2,PICHARI,-12.52296,-73.83956,27.2,28.4
112264,PONGO DE MAINIQUE,-12.24986,-72.82447,23.7,26.1
4729658E,SAN PABLO,-13.02506,-72.61988,18.9,19.6
4722A338,ACJANACO ,-13.19672,-71.61941,9.3,11.0
210007,PAUCARTAMBO,-13.3177,-71.59741,8.5,11.6
113247,ASHANAKU,-13.58048,-71.58878,7.7,11.5
113254,QUINCEMIL,-13.2289,-70.7544,23.0,25.0
472A9204,CHILCA,-13.2235,-72.34056,8.5,11.3
4727C11E,HUAYLLABAMBA,-13.26581,-72.44881,10.6,13.1
472935F2,INTIHUATANA H,-13.18517,-72.52319,13.1,14.8
472852EE,INTIHUATANA M,-13.17418,-72.56036,13.9,15.4
472897F0,MACHUPICCHU,-13.16655,-72.54585,13.9,15.4
4729950A,PACAYMAYO,-13.23419,-72.49841,11.0,12.9
113255,URUBAMBA,-13.3052,-72.1246,10.0,12.3
4720CDF8,COCHAMARCA,-12.99,-75.51019,5.7,9.5
47292684,HUACHOS,-13.21667,-75.53333,10.6,13.7
472722EC,HUANCAVELICA,-12.77163,-75.01237,4.4,7.0
47284198,CHALLACA,-13.7898,-75.417,14.0,16.9
472811E4,CHALLACA M,-13.7905,-75.3821,14.0,16.9
4728F216,CORDOVA,-14.03333,-75.16667,11.4,15.1
4728C78C,CUSICANCHA,-13.48333,-75.3,7.1,11.9
213507,RAMADILLAS,-13.80857,-75.50129,15.1,18.7
4729131E,SANTIAGO DE CHOCORVOS,-13.83333,-75.25,9.5,13.6
112269,COCHABAMBA GRANDE,-12.19238,-74.51493,11.9,13.7
110146,QUISCA,-10.08922,-76.21556,14.4,16.7
47E845FC,CACHICOTO,-9.21931,-76.21294,20.9,22.9
4720EB14,SAN MARTIN,-9.40385,-76.76482,12.7,15.3
472D0552,CHINCHAVITO,-9.515,-75.9425,21.6,23.7
472B730C,PUENTE TARUCA,-9.85056,-76.1519,16.0,18.9
110140,JESUS DE LAURICOCHA,-10.07819,-76.63119,5.1,9.2
472DA5AA,PUENTE BELLA,-9.32411,-76.02935,22.2,24.6
47270400,TINGO MARIA,-9.29601,-76.00207,22.0,24.7
4727A4F8,PUERTO INCA,-9.3851,-74.96376,26.4,29.1
109094,PUCA PUCA,-9.87895,-76.5909,5.3,9.3
4728A26A,CONTA M,-13.43936,-75.97517,19.4,21.4
4728B11C,FONAGRO,-13.45944,-76.15167,20.2,22.1
4728E160,SAN PEDRO DE HUACARPANA,-13.04889,-75.64806,6.6,10.7
472A446C,BETA SANTIAGO,-14.23739,-75.67022,20.9,24.6
213503,HUAMANI EL TAMBO,-13.84386,-75.58944,19.4,22.0
213506,LOS MOLINOS,-13.9102,-75.66696,20.8,22.6
114139,COPARA,-14.975,-74.89056,19.7,22.5
114136,PALPA,-14.54935,-75.18921,19.6,22.6
114140,PAMPA BLANCA,-14.23722,-75.10389,18.6,21.8
213403,LETRAYOC,-13.65773,-75.74496,20.0,24.2
472DF5D6,HUAYTAPALLANA,-11.92717,-75.06186,1.9,5.3
111288,CHACAPALPA,-11.7525,-75.74226,5.7,9.6
111299,POTSOTENI,-11.41316,-74.14723,26.3,29.0
4725C4EA,SATIPO,-11.2247,-74.6087,25.0,27.7
47257764,TARMA,-11.3967,-75.6899,7.3,10.2
472D9030,MARCAPOMACOCHA,-11.40443,-76.32508,2.5,4.6
472D30C8,CASAGRANDE,-7.75031,-79.18869,21.3,24.3
211001,SALINAR,-7.66069,-78.96109,20.9,24.0
472EA2A4,CASCAS,-7.47987,-78.82367,18.9,21.5
47E0A2A8,EL TAMBO,-7.57398,-78.70655,20.5,23.0
472D552E,LUCMA,-7.64333,-78.55135,13.9,15.8
472CC2B6,MARMOT,-7.7635,-78.66725,12.7,15.3
472E5220,PUENTE PALMIRA,-7.54919,-78.81051,21.9,24.4
472D8346,CALLANCAS,-7.7675,-78.47729,17.3,20.0
472EB1D2,CAPACHIQUE,-7.85642,-78.31184,10.1,12.6
107131,LA FORTUNA,-7.67042,-78.40242,7.6,9.7
472E74CC,PUENTE COINA,-7.79636,-78.38012,12.0,14.6
472D60B4,USQUIL,-7.8186,-78.41497,12.0,14.6
107130,TICAPAMPA,-7.91641,-77.90148,11.0,14.2
4727319A,QUIRUVILCA,-8.00419,-78.3079,6.6,9.1
211408,CONDORCERRO,-8.65793,-78.26172,16.9,19.6
47E2F720,TINAJONES,-6.65489,-79.42792,22.5,25.8
106140,VISTA FLORIDA,-6.72775,-79.78088,22.5,25.0
106138,PUCHACA,-6.37353,-79.46673,20.0,22.4
4726F67E,PASABAR,-5.83714,-79.81911,21.8,25.0
47201542,TONGORRAPE,-6.06692,-79.68203,20.9,24.1
4725F170,HUAROS,-11.40744,-76.57584,5.7,9.8
113249,CAÑETE,-13.07475,-76.33042,19.5,21.9
212900,LA CAPILLA SENAMHI,-12.52183,-76.49658,19.7,22.9
472191AC,SOCSI,-13.02825,-76.1945,19.7,22.7
47E323B2,CARAC,-11.19005,-76.77937,11.3,13.4
47E2323E,CUCHUANCA,-11.20158,-76.7881,11.3,13.4
47E330C4,SANTA CRUZ,-11.19827,-76.63487,8.7,11.7
47E214D2,SANTO DOMINGO,-11.37,-77.02833,20.8,23.3
47E257D8,VICHAYCOCHA,-11.13916,-76.62455,5.7,8.4
472D73C2,CASAPALCA,-11.638,-76.23325,2.5,4.3
472CE45A,MATUCANA,-11.83911,-76.378,8.8,11.7
212700,PUENTE ANTAPUCRO,-12.0333,-76.6333,18.5,21.0
212605,SAN MATEO ,-11.76012,-76.30111,5.9,8.9
472EC742,SAN MATEO DE OTAO,-11.847,-76.56359,12.6,14.9
472E24B0,SANTA EULALIA,-11.92,-76.66664,18.8,21.5
472CA750,SANTIAGO DE TUNA,-11.9832,-76.5242,9.9,13.1
4724966C,SAYAN,-11.13472,-77.19833,20.2,23.0
212500,AGUA AZUL BOCATOMA,-11.80778,-76.99766,17.9,22.6
472A218A,ANTONIO RAYMONDI,-11.77606,-77.15139,19.6,21.3
112181,CAMPO DE MARTE,-12.07056,-77.04314,19.3,21.5
111286,CARABAYLLO,-11.90219,-77.03364,19.0,21.3
112278,CERES,-12.02867,-76.92711,18.3,20.4
47278214,CHOSICA,-11.92986,-76.68964,19.8,23.1
112281,LAS PALMAS,-12.15675,-77.01303,19.0,21.2
112193,SAN BORJA,-12.10859,-77.00769,18.5,20.6
112267,SAN JUAN DE LURIGANCHO,-11.98164,-76.99925,17.9,20.3
112265,SAN MARTIN DE PORRES,-12.00889,-77.08447,19.5,21.1
112208,SANTA ANITA,-12.04302,-76.97144,18.3,20.4
472AC278,VON HUMBOLDT,-12.08221,-76.93944,17.7,20.3
111290,ÑAÑA,-11.98744,-76.84194,19.4,22.2
110139,PICOY,-10.92159,-76.73703,12.4,15.0
472364DC,CARANIA,-12.3444,-75.87215,6.4,10.0
104112,SAN REGIS,-4.51301,-73.90751,27.3,30.2
4727547C,CABALLOCOCHA,-3.91125,-70.51206,27.7,30.1
47288486,PEBAS,-3.31791,-71.85962,26.9,29.5
103065,AMAZONAS,-3.76397,-73.25492,27.3,30.5
47252718,ENAPU PERU,-3.72722,-73.23694,27.3,30.5
47287402,CONTAMANA,-7.35254,-75.00632,26.3,29.4
47E8201A,SALVACION,-12.8312,-71.36446,23.2,25.9
472587E0,IÑAPARI,-10.95589,-69.578,26.7,29.7
260403,CACHUELA,-12.60442,-69.18304,27.5,30.7
47E8336C,MALINOWSKY,-12.93411,-69.5175,26.2,29.5
260402,PUENTE HERRERA,-12.61361,-69.19413,27.5,30.7
112279,PUERTO MALDONADO,-12.5873,-69.2088,27.5,30.7
260002,TAMBOPATA,-12.5925,-69.17529,27.5,30.7
4723F1BE,MOQUEGUA,-17.17874,-70.93267,20.8,24.1
110137,12 DE OCTUBRE,-10.60641,-76.52927,5.4,8.7
4725D79C,OXAPAMPA,-10.59417,-75.38417,12.1,14.3
109093,PUERTO BERMUDEZ,-10.28619,-74.94356,24.6,27.8
104114,ALTO DE POCLUS,-4.91691,-79.89052,12.1,13.9
47E9177A,EL CIRUELO,-4.29899,-80.1673,22.2,25.0
47E281B0,HUALCUY,-4.74701,-79.60729,16.1,18.2
472FC5B8,PAIMAS,-4.63439,-79.94581,19.1,22.0
47E0C74E,PUENTE MACARA,-4.39338,-79.96412,22.0,25.5
472FF022,SAPILLICA,-4.79639,-79.99972,17.8,20.0
472F86B2,CANCHAQUE,-5.40055,-79.6052,18.4,19.3
472FE354,HUANCABAMBA,-5.24681,-79.45399,14.1,16.8
472761E6,HUARMACA,-5.56586,-79.52544,17.4,18.8
472FB328,CHALACO,-5.03389,-79.83,17.2,19.2
472F6540,CHULUCANAS,-5.10844,-80.16954,22.3,25.1
47E037CA,CORRAL DEL MEDIO,-5.18871,-79.89148,22.0,24.1
472F50DA,EL VIRREY,-5.53579,-79.98416,19.3,22.7
47E074C0,HACIENDA BARRIOS,-5.2895,-79.69909,22.4,24.1
472F95C4,HACIENDA BIGOTE ,-5.32089,-79.78569,22.6,26.2
472FA05E,MALACASI,-5.33977,-79.85794,21.1,24.8
472F7636,MORROPON,-5.19465,-79.97107,22.3,24.6
47E067B6,SALITRAL,-5.34602,-79.83761,21.1,24.8
47E08444,SAN PEDRO,-5.07954,-80.0162,21.5,23.4
105145,SANTO DOMINGO,-5.03827,-79.87049,17.2,19.2
47E0B1DE,PUENTE SIMON RODRIGUEZ,-4.87999,-81.02038,22.3,25.4
47E0E1A2,BOCATOMA CHIPILLICO,-4.7142,-80.11825,20.4,22.5
47E0F2D4,LAGARTERA,-4.7285,-80.06956,19.5,21.8
105112,MIRAFLORES,-5.17528,-80.61654,22.2,25.0
104113,PARTIDOR,-4.73197,-80.27978,21.3,24.4
105143,SAN MIGUEL,-5.24619,-80.68425,22.6,25.4
47E0522C,TAMBO GRANDE,-4.93848,-80.34703,22.2,25.2
105144,BERNAL,-5.45449,-80.74262,23.4,25.5
105120,CHUSIS,-5.51694,-80.83361,23.3,25.6
47E0D438,ALAMOR,-4.47749,-80.39788,22.5,25.4
47E09732,LA ARDILLA,-4.49094,-80.38819,22.5,25.4
472FD6CE,LANCONES,-4.6429,-80.54716,22.1,24.3
270202,PUENTE AZANGARO,-14.92139,-70.18861,10.1,14.8
4721AAE4,AYMAÑA,-13.87279,-70.66759,13.1,14.7
114137,CRUCERO,-14.36416,-70.02583,6.0,8.7
4721B992,UPINA,-13.88492,-70.08281,13.6,14.9
210003,HUANCASAYA,-15.14308,-69.21467,6.8,9.5
47251282,PUENTE CARRETERA RAMIS,-15.25544,-69.87381,12.0,17.2
472E37C6,PALCA,-15.2359,-70.59313,8.2,12.4
472DE6A0,PAMPAHUTA,-15.48369,-70.67599,8.5,12.8
114134,ANANSAYA -PUNA,-14.33386,-70.52334,8.1,13.0
47256412,ENAFER,-15.83647,-70.016,10.8,14.1
472E4156,ILLPA,-15.68726,-70.07988,10.4,14.1
472CB426,LARAQUERI,-16.13592,-70.04589,10.5,14.1
472DD33A,PUNO,-15.82625,-70.01208,10.8,14.1
115156,CABANILLAS,-15.63909,-70.34661,10.1,14.5
472CF72C,JULIACA,-15.47106,-70.17122,10.0,14.9
107142,BELLAVISTA,-7.05517,-76.55836,24.0,27.2
210006,SHANAO,-6.41291,-76.60001,24.5,27.0
106144,JEPELACIO,-6.11275,-76.90761,23.0,25.1
106145,TINGO DE PONAZA,-6.93722,-76.25267,24.0,26.6
4724851A,NARANJILLO,-5.80962,-77.39321,21.0,22.9
4723013A,EL PORVENIR,-6.58906,-76.31824,25.7,28.0
47E2E456,TOCACHE,-8.18475,-76.50789,23.3,25.8
47E2C2BA,CANDARAVE,-17.268,-70.25409,11.5,14.6
47E1654C,CORACHAY II,-17.11435,-70.28838,10.3,13.5
47E12646,LAGUNA ARICOTA,-17.37093,-70.30847,12.5,15.3
47E186BE,PUENTE VIEJO,-17.61756,-70.76097,20.8,25.2
47E2B42A,BOCATOMA EL AYRO,-17.58019,-69.62673,9.2,12.5
47E143A0,CAPLINA,-17.6921,-69.92511,12.0,14.7
47E13530,CERRO BLANCO,-17.96873,-70.15231,21.9,24.2
47E195C8,CHALLATA,-17.81542,-70.09896,18.8,20.9
4722F344,LA TRANCA,-17.74313,-70.47178,21.0,23.9
47E113DC,REPRESA PAUCARANI,-17.53436,-69.76499,6.8,9.8
117059,ANCOAQUE,-17.19972,-69.93917,7.1,10.2
47E292C6,CHUAPALCA,-17.30882,-69.66179,9.2,12.7
47E150D6,PUENTE TALAPALCA,-17.47487,-70.17265,16.1,18.0
47E1B324,REPRESA JARUMAS,-17.3692,-69.94863,7.1,10.4
47E1763A,SALIDA TUNEL KOVIRE,-17.23804,-70.00854,8.7,12.2
47E2D1CC,TARATA,-17.47937,-70.03665,14.6,17.5
47E2A75C,VILACOTA,-17.07909,-70.04302,7.8,11.4
472F13D0,CAÑAVERAL,-3.93905,-80.65055,23.9,26.7
47E01126,CABO INGA H,-3.97873,-80.39938,21.0,23.9
472F00A6,CABO INGA M,-3.97594,-80.40182,21.0,23.9
472EF2D8,CAMPAMENTO SEDE,-3.55115,-80.42962,25.5,26.9
4724A3F6,EL TIGRE,-3.7687,-80.45689,24.3,27.0
472F43AC,HUASIMO,-3.99815,-80.50392,20.6,23.2
47E024BC,PUENTE TUMBES,-3.5709,-80.4609,25.5,26.9
103068,PUERTO PIZARRO,-3.50396,-80.39538,25.1,25.4
472F264A,RICA PLAYA,-3.81333,-80.4575,23.1,25.9
472F353C,MATAPALO,-3.68276,-80.19851,24.2,26.5
47E86310,CALLERIA,-7.89825,-74.49886,25.6,28.8
47E87066,PUERTO ESPERANZA,-9.77083,-70.70666,26.4,29.2
270001,DESAGUADERO,-16.56364,-69.03667,10.9,15.2
101004,GUEPPI,0.1172,-75.2503,24.1,27.1
