codigo,estacion,latitud,longitud,2026092512,2026092513
472B55E0,PUENTE SALINAS AMOJAO,-5.45096,-78.4894,21.4,23.4
472C57D4,BAGUA,-5.66145,-78.53403,22.6,26.7
472B607A,CORRAL QUEMADO,-5.75461,-78.69208,22.9,26.5
472B2370,MAGUNCHAL,-5.88987,-78.18876,23.7,25.3
220907,NARANJITO,-5.81968,-78.27598,26.0,28.2
109096,BUENA VISTA,-9.43372,-78.20828,19.7,21.9
4725A10C,CHAVIN,-9.58598,-77.17529,6.5,9.4
109091,SAUCEPAMPA,-9.0309,-77.7763,12.8,15.1
472182DA,PUENTE CAHUA,-10.60597,-77.34388,17.6,19.6
47E89394,PACHACOTO,-9.85243,-77.40607,6.6,10.1
47259496,RECUAY,-9.72919,-77.45365,6.6,10.0
110138,SHAQUEK,-10.07116,-77.52504,8.4,10.6
211601,SAN JACINTO,-9.141,-78.2023,21.7,23.8
113253,CURAHUASI,-13.5526,-72.7349,10.6,13.6
47263360,GRANJA SAN ANTONIO,-13.60492,-72.85693,7.8,10.5
472B16EA,HUACULLO,-14.65289,-72.57275,5.0,9.1
113246,TANCAYLLO,-13.63523,-73.69004,9.1,11.8
472A1410,CASACCANCHA,-13.98923,-72.29832,7.4,12.6
116085,AREQUIPA UV,-16.4042,-71.55155,16.9,20.6
47E26242,BOYADERO,-16.58989,-72.00886,21.4,25.3
116083,CAYMA,-16.31689,-71.57919,15.1,17.6
472147C4,CHARCANI,-16.31086,-71.49511,13.7,16.4
116077,CHIGUATA,-16.40645,-71.40914,13.6,16.4
116079,HUASACACHE,-16.45774,-71.56635,16.5,20.8
116065,LA PAMPILLA,-16.41384,-71.53452,16.9,20.6
116086,LAS SALINAS,-16.32064,-71.15212,7.9,12.4
47E360B8,PATAHUASI,-16.05542,-71.41481,9.5,14.4
4722E032,PUENTE DEL DIABLO,-16.42665,-71.67507,17.4,21.3
116082,SAN FRANCISCO,-16.38519,-71.49044,16.6,20.0
47E3B6D0,SAN JOSE DE UZUNA,-16.58103,-71.32836,12.3,15.4
47E27134,SOCOSANI,-16.25944,-71.72056,15.2,18.6
472EE1AE,TINGO GRANDE,-16.45992,-71.57431,16.5,20.8
116078,TUCTUMPAYA,-16.48827,-71.33463,12.3,16.1
116081,YURA,-16.30271,-71.62395,15.1,17.6
116084,CAMANA,-16.64395,-72.70432,19.4,20.1
472D23BE,OCOÑA,-16.427,-73.1145,19.3,20.4
214400,HUATIAPA,-16.00806,-72.48355,22.6,26.0
4723D752,CHIVAY,-15.64163,-71.60169,8.4,12.9
47E8A60E,COTACOTA,-15.21331,-71.38955,8.1,12.5
47E3A5A6,HUANCA,-16.03458,-71.88108,13.6,16.6
47E3834A,IMATA,-15.84266,-71.09062,8.5,12.3
4729E39A,PAMPA DE MAJES,-16.33565,-72.15266,20.7,24.4
47E373CE,PILLONES,-15.97861,-71.21333,8.0,12.9
47265686,SIBAYO,-15.49422,-71.4638,8.1,12.2
472ED434,SUMBAY,-15.81667,-71.11667,8.3,12.2
115150,COROPUNA,-15.53597,-72.61056,0.6,2.2
