codigo,estacion,latitud,longitud,2026092518,2026092600,2026092606,2026092612,2026092618,2026092700,2026092706,2026092712,2026092718,2026092800,2026092806,2026092812,2026092818,2026092900,2026092906,2026092912,2026092918,2026093000,2026093006,2026093012
472C92CA,CASCABAMBA,-7.38407,-78.72682,,,,,,,,,,,,,,,,,,,,
472C81BC,GUZMANGO,-7.38133,-78.9033,,,,,,,,,,,,,,,,,,,,
4727470A,PUENTE CHILETE,-7.21968,-78.83798,,,,,,,,,,,,,,,,,,,,
4726E508,YONAN GORE,-7.25592,-79.09909,,,,,,,,,,,,,,,,,,,,
472B3006,CUMBA,-5.94135,-78.66413,,,,,,,,,,,,,,,,,,,,
4726A602,CUTERVO,-6.37914,-78.81339,,,,,,,,,,,,,,,,,,,,
4726D092,BAMBAMARCA H,-6.66975,-78.54119,,,,,,,,,,,,,,,,,,,,
472680EE,BAMBAMARCA M,-6.67981,-78.52346,,,,,,,,,,,,,,,,,,,,
4727F484,CHUGUR,-6.66878,-78.738,,,,,,,,,,,,,,,,,,,,
472A571A,HUALLAPE,-5.45077,-78.69579,,,,,,,,,,,,,,,,,,,,
47269398,JAEN,-5.67667,-78.77418,,,,,,,,,,,,,,,,,,,,
105136,SAUZAL,-5.77168,-79.39769,,,,,,,,,,,,,,,,,,,,
4725E206,SAN MARCOS,-7.32249,-78.17269,,,,,,,,,,,,,,,,,,,,
47E207A4,TONGOD,-6.74456,-78.81392,,,,,,,,,,,,,,,,,,,,
47E1C5B4,CAÑAD,-6.64934,-78.99733,,,,,,,,,,,,,,,,,,,,
47E3055E,CHANCAY BAÑOS,-6.57489,-78.86721,,,,,,,,,,,,,,,,,,,,
47E1E358,PUENTE AMBAN,-6.58271,-78.91262,,,,,,,,,,,,,,,,,,,,
114132,POMACANCHI,-14.0278,-71.5726,,,,,,,,,,,,,,,,,,,,
113252,ANCACHURO,-13.4724,-72.2188,,,,,,,,,,,,,,,,,,,,
47294362,SORAYPAMPA,-13.3955,-72.5736,,,,,,,,,,,,,,,,,,,,
472976F8,CALCA,-13.33333,-71.95524,,,,,,,,,,,,,,,,,,,,
472A6280,NUEVO PISAC,-13.42264,-71.85388,,,,,,,,,,,,,,,,,,,,
114126,PAYAPUNKU,-14.4261,-71.28145,,,,,,,,,,,,,,,,,,,,
114125,SAUSAYA,-14.52931,-71.35831,,,,,,,,,,,,,,,,,,,,
472E025C,QUISOQUEPINA,-13.79505,-70.88622,,,,,,,,,,,,,,,,,,,,
114118,SALCCA,-14.16991,-71.23186,,,,,,,,,,,,,,,,,,,,
47E8B578,SIBINACOCHA,-13.92214,-71.01823,,,,,,,,,,,,,,,,,,,,
4726158C,SICUANI,-14.23736,-71.23669,,,,,,,,,,,,,,,,,,,,
114123,MARCA CUNKA,-14.49847,-72.08952,,,,,,,,,,,,,,,,,,,,
4729A090,SANTO TOMAS,-14.44896,-72.09645,,,,,,,,,,,,,,,,,,,,
114124,HUAYHUAHUASI,-14.67242,-71.51991,,,,,,,,,,,,,,,,,,,,
47E880E2,PICHARI,-12.52296,-73.83956,,,,,,,,,,,,,,,,,,,,
112264,PONGO DE MAINIQUE,-12.24986,-72.82447,,,,,,,,,,,,,,,,,,,,
